Title,File,Start Page,End Page,Key,Composer
Sirabhorn,realbook_hal_6th_C.pdf,359,359,C,Pat Metheny
Skating In Central Park,realbook_hal_6th_C.pdf,360,361,C,John Lewis
So Nice (Summer Samba),realbook_hal_6th_C.pdf,362,362,C,Marcos Valle/Paulo Sergio Valle/Norman Gimbel
Solar,realbook_hal_6th_C.pdf,363,363,C,Miles Davis
So What,realbook_hal_6th_C.pdf,364,365,C,Miles Davis
Solitude,realbook_hal_6th_C.pdf,366,366,C,Duke Ellington/Eddie De Lange/Irving Mills
Someday My Prince Will Come,realbook_hal_6th_C.pdf,367,367,C,Frank Churchill/Larry Morey
Some Other Spring,realbook_hal_6th_C.pdf,368,368,C,Arthur Herzog Jr./Irene Kitchings
Somebody Love Me,realbook_hal_6th_C.pdf,369,369,C,George Gershwin/B. G. Desylva/Ballard MacDonald/Emelia Renaud
Some Skunk Funk,realbook_hal_6th_C.pdf,370,371,C,Randy Brecker
Sometime Ago,realbook_hal_6th_C.pdf,372,372,C,Sergio Mihanovich
Song For My Father,realbook_hal_6th_C.pdf,373,373,C,Horace Silver
