Title,File,Start Page,End Page,Key,Composer
Jordu,realbook_hal_6th_Eb.pdf,227,227,Eb,Duke Jordan
Journey To Recife,realbook_hal_6th_Eb.pdf,228,228,Eb,Richard Evans/Norman Gimbel
Joy Spring,realbook_hal_6th_Eb.pdf,229,229,Eb,Clifford Brown
Juju,realbook_hal_6th_Eb.pdf,230,230,Eb,Wayne Shorter
June In January,realbook_hal_6th_Eb.pdf,231,231,Eb,Leo Robin/Ralph Ranger
Jump Monk,realbook_hal_6th_Eb.pdf,232,233,Eb,Charles Mingus
Just One More Chance,realbook_hal_6th_Eb.pdf,234,234,Eb,Arthur Johnson/Sam Coslow
Lady Bird,realbook_hal_6th_Eb.pdf,235,235,Eb,Todd Dameron
KELO,realbook_hal_6th_Eb.pdf,236,237,Eb,J. J. Johnson
Lady Sings The Blues,realbook_hal_6th_Eb.pdf,238,238,Eb,Herbert Nichols/Billy Holiday
Lament,realbook_hal_6th_Eb.pdf,239,239,Eb,J. J. Johnson
Las Vegas Tango,realbook_hal_6th_Eb.pdf,240,240,Eb,Gil Evans
Lazy Bird,realbook_hal_6th_Eb.pdf,241,241,Eb,John Coltrane
Lazy River,realbook_hal_6th_Eb.pdf,242,242,Eb,Hoagy Carmichael/Sidney Arodin
Like Someone In Love,realbook_hal_6th_Eb.pdf,243,243,Eb,Jimmy Van Heusen/Johnny Burke
Limehouse Blues,realbook_hal_6th_Eb.pdf,244,244,Eb,Philip Braham/Douglas Furber
Little Boat,realbook_hal_6th_Eb.pdf,245,245,Eb,Roberto Menescal/Ronaldo Bogcoli/Buddy Kaye
Lines And Spaces,realbook_hal_6th_Eb.pdf,246,247,Eb,Joe Lovano
Litha,realbook_hal_6th_Eb.pdf,248,249,Eb,Chick Corea
Little Waltz,realbook_hal_6th_Eb.pdf,250,250,Eb,Ron Carter
Long Ago And Far Away,realbook_hal_6th_Eb.pdf,251,251,Eb,Jerome Kern/Ira Gershwin
Lonnie's Lament,realbook_hal_6th_Eb.pdf,252,252,Eb,John Coltrane
Look To The Sky,realbook_hal_6th_Eb.pdf,253,253,Eb,Antonio Carlos Jobim
Love Is The Sweetest Thing,realbook_hal_6th_Eb.pdf,254,254,Eb,Ray Nobel
Lucky Southern,realbook_hal_6th_Eb.pdf,255,255,Eb,Keith Jarrett
Lullaby Of Birdland,realbook_hal_6th_Eb.pdf,256,256,Eb,George Shearing/George Davis We
Magician In You The,realbook_hal_6th_Eb.pdf,257,257,Eb,Keith Jarrett
Lush Life,realbook_hal_6th_Eb.pdf,258,259,Eb,Billy Strayhorn
Majoong,realbook_hal_6th_Eb.pdf,260,260,Eb,Wayne Shorter
Maiden Voyage,realbook_hal_6th_Eb.pdf,261,261,Eb,Herbie Hancock
Man And A Woman (A),realbook_hal_6th_Eb.pdf,262,263,Eb,Francis Lai/Pierre Barouh/Jerry Keller
Man In The Green Shirt,realbook_hal_6th_Eb.pdf,264,265,Eb,Joe Zawinul
Meditation,realbook_hal_6th_Eb.pdf,266,266,Eb,Antonio Carlos Jobim/Newton Mendonca/Norman Gimbel
